,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Deoxys,386,600,50,150,50,150,50,150,False,16,13,DNA Pokémon,175,153,153,3,13,12,False,False,True
Deoxys(Attack Forme),386,600,50,180,20,180,20,150,False,16,13,DNA Pokémon,175,153,153,3,13,12,False,False,True
Deoxys(Defense Forme),386,600,50,70,160,70,160,90,False,16,13,DNA Pokémon,175,153,153,3,13,12,False,False,True
Deoxys(Speed Forme),386,600,50,95,90,95,90,180,False,16,13,DNA Pokémon,175,153,153,3,13,12,False,False,True
Turtwig,387,318,55,68,64,45,55,31,False,10,13,Tiny Leaf Pokémon,159,153,218,4,8,11,False,False,False
Grotle,388,405,75,89,85,55,65,36,False,10,13,Grove Pokémon,159,153,218,4,8,11,False,False,False
Torterra,389,525,95,109,105,75,85,56,False,10,11,Continent Pokémon,159,153,218,4,8,11,False,False,False
Chimchar,390,309,44,58,44,58,44,61,False,7,13,Chimp Pokémon,23,153,115,4,6,9,False,False,False
Monferno,391,405,64,78,52,78,52,81,False,7,6,Playful Pokémon,23,153,115,4,6,9,False,False,False
Infernape,392,534,76,104,71,104,71,108,False,7,6,Flame Pokémon,23,153,115,4,6,9,False,False,False
Piplup,393,314,53,51,53,61,56,40,False,19,13,Penguin Pokémon,267,153,49,4,6,14,False,False,False
Prinplup,394,405,64,66,68,81,76,50,False,19,13,Penguin Pokémon,267,153,49,4,6,14,False,False,False
Empoleon,395,530,84,86,88,111,101,60,False,19,18,Emperor Pokémon,267,153,49,4,6,14,False,False,False
Starly,396,245,40,55,30,30,30,60,False,14,8,Starling Pokémon,117,153,193,4,7,12,False,False,False
Staravia,397,340,55,75,50,40,40,80,False,14,8,Starling Pokémon,112,153,193,4,7,12,False,False,False
Staraptor,398,485,85,120,70,50,60,100,False,14,8,Predator Pokémon,112,153,193,4,7,12,False,False,False
Bidoof,399,250,59,45,40,35,40,31,False,14,13,Plump Mouse Pokémon,221,276,142,4,6,14,False,False,False
Bibarel,400,410,79,85,60,55,60,71,False,14,19,Beaver Pokémon,221,276,142,4,6,14,False,False,False
Kricketot,401,194,37,25,41,25,41,25,False,1,13,Cricket Pokémon,216,153,201,4,2,12,False,False,False
Kricketune,402,384,77,85,51,55,51,65,False,1,13,Cricket Pokémon,252,153,261,4,2,12,False,False,False
Shinx,403,263,45,65,34,40,34,45,False,4,13,Flash Pokémon,197,112,89,4,6,12,False,False,False
Luxio,404,363,60,85,49,60,49,60,False,4,13,Spark Pokémon,197,112,89,4,6,12,False,False,False
Luxray,405,523,80,120,79,95,79,70,False,4,13,Gleam Eyes Pokémon,197,112,89,4,6,12,False,False,False
Budew,406,280,40,30,35,50,70,55,False,10,15,Bud Pokémon,149,169,119,4,13,12,False,False,False
Roserade,407,515,60,70,65,125,105,90,False,10,15,Bouquet Pokémon,149,169,261,4,5,8,False,False,False
Cranidos,408,350,67,125,40,30,30,58,False,17,13,Head Butt Pokémon,141,153,217,4,11,12,False,False,False
Rampardos,409,495,97,165,60,65,50,58,False,17,13,Head Butt Pokémon,141,153,217,4,11,12,False,False,False
Shieldon,410,350,30,42,118,42,88,30,False,17,18,Shield Pokémon,247,153,231,4,11,12,False,False,False
Bastiodon,411,495,60,52,168,47,138,30,False,17,18,Shield Pokémon,247,153,231,4,11,12,False,False,False
Burmy,412,224,40,29,45,29,45,36,False,1,13,Bagworm Pokémon,216,153,158,4,2,12,False,False,False
Burmy(Sandy Cloak),412,224,40,29,45,29,45,36,False,1,13,Bagworm Pokémon,216,153,158,4,2,12,False,False,False
Burmy(Trash Cloak),412,224,40,29,45,29,45,36,False,1,13,Bagworm Pokémon,216,153,158,4,2,12,False,False,False
Wormadam,413,424,60,59,85,79,105,36,False,1,10,Bagworm Pokémon,8,153,158,4,2,12,False,False,False
Wormadam(Sandy Cloak),413,424,60,79,105,59,85,36,False,1,11,Bagworm Pokémon,8,153,158,4,2,12,False,False,False
Wormadam(Trash Cloak),413,424,60,69,95,69,95,36,False,1,18,Bagworm Pokémon,8,153,158,4,2,12,False,False,False
Mothim,414,424,70,94,50,94,50,66,False,1,8,Moth Pokémon,252,153,266,4,2,12,False,False,False
Combee,415,244,30,30,42,30,42,70,False,1,8,Tiny Bee Pokémon,95,153,98,4,2,12,False,False,False
Vespiquen,416,474,70,80,102,80,102,40,False,1,8,Beehive Pokémon,175,153,278,4,2,12,False,False,False
Pachirisu,417,405,60,45,70,45,90,95,False,4,13,EleSquirrel Pokémon,201,165,283,4,5,6,False,False,False
Buizel,418,330,55,65,35,60,30,85,False,19,13,Sea Weasel Pokémon,254,153,288,4,6,14,False,False,False
Floatzel,419,495,85,105,55,85,50,115,False,19,13,Sea Weasel Pokémon,254,153,288,4,6,14,False,False,False
Cherubi,420,275,45,35,45,62,53,35,False,10,13,Cherry Pokémon,27,153,153,4,5,8,False,False,False
Cherrim,421,450,70,60,70,87,78,85,False,10,13,Blossom Pokémon,69,153,153,4,5,8,False,False,False
Shellos,422,325,76,48,48,57,62,34,False,19,13,Sea Slug Pokémon,244,245,202,4,1,14,False,False,False
Gastrodon,423,475,111,83,68,92,82,39,False,19,11,Sea Slug Pokémon,244,245,202,4,1,14,False,False,False
Ambipom,424,482,75,100,66,60,66,115,False,14,13,Long Tail Pokémon,261,165,222,4,6,12,False,False,False
Drifloon,425,348,90,50,34,60,44,70,False,9,8,Balloon Pokémon,3,277,67,4,1,12,False,False,False
Drifblim,426,498,150,80,44,90,54,80,False,9,8,Blimp Pokémon,3,277,67,4,1,12,False,False,False
Buneary,427,350,55,66,44,44,56,85,False,14,13,Rabbit Pokémon,201,118,124,4,6,9,False,False,False
Lopunny,428,480,65,76,84,54,96,105,False,14,13,Rabbit Pokémon,42,118,124,4,6,9,False,False,False
Lopunny(Mega Lopunny),428,580,65,136,94,54,96,135,True,14,6,Rabbit Pokémon,209,153,153,6,6,9,False,False,False
Mismagius,429,495,60,60,60,105,105,105,False,9,13,Magical Pokémon,120,153,153,4,1,12,False,False,False
Honchkrow,430,505,100,125,52,105,52,71,False,2,8,Big Boss Pokémon,111,249,144,4,7,12,False,False,False
Glameow,431,310,49,55,42,42,37,85,False,14,13,Catty Pokémon,124,160,117,4,6,12,False,False,False
Purugly,432,452,71,82,64,64,59,112,False,14,13,Tiger Cat Pokémon,265,160,49,4,6,12,False,False,False
Chingling,433,285,45,30,50,65,50,45,False,16,13,Bell Pokémon,120,153,153,4,13,12,False,False,False
Stunky,434,329,63,63,47,41,41,74,False,15,2,Skunk Pokémon,243,3,117,4,6,12,False,False,False
Skuntank,435,479,103,93,67,71,61,84,False,15,2,Skunk Pokémon,243,3,117,4,6,12,False,False,False
Bronzor,436,300,57,24,86,24,86,23,False,18,16,Bronze Pokémon,120,93,94,4,10,12,False,False,False
Bronzong,437,500,67,89,116,79,116,33,False,18,16,Bronze Bell Pokémon,120,93,94,4,10,12,False,False,False
Bonsly,438,290,50,80,95,10,45,10,False,17,13,Bonsai Pokémon,247,198,191,4,13,12,False,False,False
Mime Jr.,439,310,20,25,45,70,90,60,False,16,5,Mime Pokémon,231,65,261,4,13,12,False,False,False
Happiny,440,220,100,5,5,15,65,30,False,14,13,Playhouse Pokémon,149,212,74,4,13,12,False,False,False
Chatot,441,411,76,65,45,92,42,91,False,14,8,Music Note Pokémon,117,259,22,4,7,12,False,False,False
Spiritomb,442,485,50,92,108,92,108,35,False,9,2,Forbidden Pokémon,175,153,108,4,1,12,False,False,False
Gible,443,300,58,70,45,40,45,42,False,3,11,Land Shark Pokémon,206,153,200,4,4,11,False,False,False
Gabite,444,410,68,90,65,50,55,82,False,3,11,Cave Pokémon,206,153,200,4,4,11,False,False,False
Garchomp,445,600,108,130,95,80,85,102,False,3,11,Mach Pokémon,206,153,200,4,4,11,False,False,False
Garchomp(Mega Garchomp),445,700,108,170,115,120,95,92,True,3,11,Mach Pokémon,202,153,153,6,4,11,False,False,False
Munchlax,446,390,135,85,40,40,85,5,False,14,13,Big Eater Pokémon,165,265,80,4,13,12,False,False,False
Riolu,447,285,40,70,40,35,40,60,False,6,13,Emanation Pokémon,239,110,174,4,13,12,False,False,False
Lucario,448,525,70,110,70,115,70,90,False,6,18,Aura Pokémon,239,110,116,4,6,9,False,False,False
Lucario(Mega Lucario),448,625,70,145,88,140,70,112,True,6,18,Aura Pokémon,1,153,153,6,6,9,False,False,False
Hippopotas,449,330,68,72,78,38,42,32,False,11,13,Hippo Pokémon,205,153,202,4,6,12,False,False,False
Hippowdon,450,525,108,112,118,68,72,47,False,11,13,Heavyweight Pokémon,205,153,202,4,6,12,False,False,False
Skorupi,451,330,40,50,90,30,55,65,False,15,1,Scorpion Pokémon,17,225,117,4,2,16,False,False,False
Drapion,452,500,70,90,110,60,75,95,False,15,2,Ogre Scorp Pokémon,17,225,117,4,2,16,False,False,False
Croagunk,453,300,48,61,40,61,40,50,False,15,6,Toxic Mouth Pokémon,8,57,170,4,9,12,False,False,False
Toxicroak,454,490,83,106,65,86,65,85,False,15,6,Toxic Mouth Pokémon,8,57,170,4,9,12,False,False,False
Carnivine,455,454,74,100,72,90,72,46,False,10,13,Bug Catcher Pokémon,120,153,153,4,8,12,False,False,False
Finneon,456,330,49,49,56,49,61,66,False,19,13,Wing Fish Pokémon,254,245,288,4,15,12,False,False,False
Lumineon,457,460,69,69,76,69,86,91,False,19,13,Neon Pokémon,254,245,288,4,15,12,False,False,False
Mantyke,458,345,45,20,50,60,120,50,False,19,8,Kite Pokémon,254,285,288,4,13,12,False,False,False
Snover,459,334,60,62,50,62,60,40,False,10,12,Frost Tree Pokémon,227,153,231,4,8,11,False,False,False
Abomasnow,460,494,90,92,75,92,85,60,False,10,12,Frost Tree Pokémon,227,153,231,4,8,11,False,False,False
Abomasnow(Mega Abomasnow),460,594,90,132,105,132,105,30,True,10,12,Frost Tree Pokémon,227,153,153,6,8,11,False,False,False
Weavile,461,510,70,120,65,45,85,125,False,2,12,Sharp Claw Pokémon,175,153,164,4,6,12,False,False,False
Magnezone,462,535,70,70,115,130,90,60,False,4,18,Magnet Area Pokémon,133,247,5,4,10,12,False,False,False
Lickilicky,463,515,110,85,95,80,95,50,False,14,13,Licking Pokémon,160,155,29,4,11,12,False,False,False
Rhyperior,464,535,115,140,130,55,55,40,False,11,17,Drill Pokémon,123,229,193,4,6,11,False,False,False
Tangrowth,465,535,100,100,125,110,50,50,False,10,13,Vine Pokémon,27,119,195,4,8,12,False,False,False
Electivire,466,540,75,123,67,95,85,95,False,4,13,Thunderbolt Pokémon,143,153,282,4,9,12,False,False,False
Magmortar,467,540,75,95,67,125,95,83,False,7,13,Blast Pokémon,66,153,282,4,9,12,False,False,False
Togekiss,468,545,85,50,95,120,115,80,False,5,8,Jubilee Pokémon,98,212,249,4,5,7,False,False,False
Yanmega,469,515,86,76,86,116,56,95,False,1,8,Ogre Darner Pokémon,232,266,75,4,2,12,False,False,False
Leafeon,470,525,65,110,130,60,65,95,False,10,13,Verdant Pokémon,119,153,27,4,6,12,False,False,False
Glaceon,471,525,65,60,110,130,95,65,False,12,13,Fresh Snow Pokémon,226,153,101,4,6,12,False,False,False
Gliscor,472,510,75,95,125,45,75,95,False,11,8,Fang Scorp Pokémon,100,206,168,4,2,12,False,False,False
Mamoswine,473,530,110,130,80,70,60,80,False,12,11,Twin Tusk Pokémon,155,226,265,4,6,12,False,False,False
Porygon-Z,474,535,85,80,70,135,75,90,False,14,13,Virtual Pokémon,1,53,5,4,10,12,False,False,False
Gallade,475,518,68,125,65,65,115,80,False,16,6,Blade Pokémon,239,215,116,4,1,9,False,False,False
Gallade(Mega Gallade),475,618,68,165,95,65,115,110,True,16,6,Blade Pokémon,110,153,153,6,1,9,False,False,False
Probopass,476,525,60,55,145,75,150,40,False,17,18,Compass Pokémon,247,133,202,4,10,12,False,False,False
Dusknoir,477,525,45,100,135,65,135,45,False,9,13,Gripper Pokémon,175,153,75,4,1,12,False,False,False
Froslass,478,480,70,80,70,80,70,110,False,12,9,Snow Land Pokémon,226,153,41,4,5,10,False,False,False
Rotom,479,440,50,50,77,95,77,91,False,4,9,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Rotom(Heat Rotom),479,520,50,65,107,105,107,86,False,4,7,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Rotom(Wash Rotom),479,520,50,65,107,105,107,86,False,4,19,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Rotom(Frost Rotom),479,520,50,65,107,105,107,86,False,4,12,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Rotom(Fan Rotom),479,520,50,65,107,105,107,86,False,4,8,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Rotom(Mow Rotom),479,520,50,65,107,105,107,86,False,4,10,Plasma Pokémon,120,153,153,4,1,12,False,False,False
Uxie,480,580,75,75,130,75,130,95,False,16,13,Knowledge Pokémon,120,153,153,4,13,12,True,False,False
Mesprit,481,580,80,105,105,105,105,80,False,16,13,Emotion Pokémon,120,153,153,4,13,12,True,False,False
Azelf,482,580,75,125,70,125,70,115,False,16,13,Willpower Pokémon,120,153,153,4,13,12,True,False,False
Dialga,483,680,100,120,120,150,100,90,False,18,3,Temporal Pokémon,175,153,262,4,13,12,False,True,False
Dialga(Origin Forme),483,680,100,100,120,150,120,90,False,18,3,Temporal Pokémon,175,153,262,4,13,12,False,True,False
Palkia,484,680,90,120,100,150,120,100,False,19,3,Spatial Pokémon,175,153,262,4,13,12,False,True,False
Palkia(Origin Forme),484,680,90,100,100,150,120,120,False,19,3,Spatial Pokémon,175,153,262,4,13,12,False,True,False
Heatran,485,600,91,90,106,130,106,77,False,7,18,Lava Dome Pokémon,68,153,66,4,13,12,True,False,False
Regigigas,486,670,110,160,110,80,110,100,False,14,13,Colossal Pokémon,223,153,153,4,13,12,True,False,False
Giratina,487,680,150,100,120,100,120,90,False,9,3,Renegade Pokémon,175,153,262,4,13,12,False,True,False
Giratina(Origin Forme),487,680,150,120,100,120,100,90,False,9,3,Renegade Pokémon,120,153,153,4,13,12,False,True,False
Cresselia,488,580,120,70,110,75,120,85,False,16,13,Lunar Pokémon,120,153,153,4,13,12,True,False,False
Phione,489,480,80,80,80,80,80,80,False,19,13,Sea Drifter Pokémon,99,153,153,4,5,14,False,False,True
Manaphy,490,600,100,100,100,100,100,100,False,19,13,Seafaring Pokémon,99,153,153,4,5,14,False,False,True
Darkrai,491,600,70,90,90,135,90,125,False,2,13,Pitch-Black Pokémon,14,153,153,4,13,12,False,False,True
Shaymin,492,600,100,100,100,100,100,100,False,10,13,Gratitude Pokémon,149,153,153,4,13,12,False,False,True
Shaymin(Sky Forme),492,600,100,103,75,120,75,127,False,10,8,Gratitude Pokémon,212,153,153,4,13,12,False,False,True
Arceus,493,720,120,120,120,120,120,120,False,14,13,Alpha Pokémon,146,153,153,4,13,12,False,False,True
Victini,494,600,100,100,100,100,100,100,False,16,7,Victory Pokémon,281,153,153,5,13,12,False,False,True
Snivy,495,308,45,45,55,45,55,63,False,10,13,Grass Snake Pokémon,159,153,35,5,6,8,False,False,False
Servine,496,413,60,60,75,60,75,83,False,10,13,Grass Snake Pokémon,159,153,35,5,6,8,False,False,False
Serperior,497,528,75,75,95,75,95,113,False,10,13,Regal Pokémon,159,153,35,5,6,8,False,False,False
Tepig,498,308,65,63,45,45,45,45,False,7,13,Fire Pig Pokémon,23,153,265,5,6,12,False,False,False
Pignite,499,418,90,93,55,70,55,55,False,7,6,Fire Pig Pokémon,23,153,265,5,6,12,False,False,False
Emboar,500,528,110,123,65,100,65,65,False,7,6,Mega Fire Pig Pokémon,23,153,193,5,6,12,False,False,False
Oshawott,501,308,55,55,45,63,45,45,False,19,13,Sea Otter Pokémon,267,153,218,5,6,12,False,False,False
Dewott,502,413,75,75,60,83,60,60,False,19,13,Discipline Pokémon,267,153,218,5,6,12,False,False,False
Samurott,503,528,95,100,85,108,70,70,False,19,13,Formidable Pokémon,267,153,218,5,6,12,False,False,False
Samurott(Hisuian Samurott),503,528,90,108,80,100,65,85,False,19,2,Formidable Pokémon,267,153,215,5,6,12,False,False,False
Patrat,504,255,45,55,39,35,39,42,False,14,13,Scout Pokémon,201,117,5,5,6,12,False,False,False
Watchog,505,420,60,85,69,60,69,77,False,14,13,Lookout Pokémon,104,117,5,5,6,12,False,False,False
Lillipup,506,275,45,60,45,25,45,55,False,14,13,Puppy Pokémon,282,165,201,5,6,12,False,False,False
Herdier,507,370,65,80,65,35,65,60,False,14,13,Loyal Dog Pokémon,112,203,209,5,6,12,False,False,False
Stoutland,508,500,85,110,90,45,90,80,False,14,13,Big-Hearted Pokémon,112,203,209,5,6,12,False,False,False
Purrloin,509,281,41,50,37,50,37,66,False,2,13,Devious Pokémon,124,277,174,5,6,12,False,False,False
Liepard,510,446,64,88,50,88,50,106,False,2,13,Cruel Pokémon,124,277,174,5,6,12,False,False,False
Pansage,511,316,50,53,48,53,48,64,False,10,13,Grass Monkey Pokémon,80,153,159,5,6,12,False,False,False
Simisage,512,498,75,98,63,98,63,101,False,10,13,Thorn Monkey Pokémon,80,153,159,5,6,12,False,False,False
Pansear,513,316,50,53,48,53,48,64,False,7,13,High Temp Pokémon,80,153,23,5,6,12,False,False,False
Simisear,514,498,75,98,63,98,63,101,False,7,13,Ember Pokémon,80,153,23,5,6,12,False,False,False
Panpour,515,316,50,53,48,53,48,64,False,19,13,Spray Pokémon,80,153,267,5,6,12,False,False,False
Simipour,516,498,75,98,63,98,63,101,False,19,13,Geyser Pokémon,80,153,267,5,6,12,False,False,False
Munna,517,292,76,25,45,67,55,24,False,16,13,Dream Eater Pokémon,73,257,262,5,6,12,False,False,False
Musharna,518,487,116,55,85,107,95,29,False,16,13,Drowsing Pokémon,73,257,262,5,6,12,False,False,False
Pidove,519,264,50,55,50,36,30,43,False,14,8,Tiny Pigeon Pokémon,22,249,197,5,7,12,False,False,False
Tranquill,520,358,62,77,62,50,42,65,False,14,8,Wild Pigeon Pokémon,22,249,197,5,7,12,False,False,False
Unfezant,521,488,80,115,80,65,55,93,False,14,8,Proud Pokémon,22,249,197,5,7,12,False,False,False
Blitzle,522,295,45,60,32,50,32,76,False,4,13,Electrified Pokémon,123,143,207,5,6,12,False,False,False
Zebstrika,523,497,75,100,63,80,63,116,False,4,13,Thunderbolt Pokémon,123,143,207,5,6,12,False,False,False
Roggenrola,524,280,55,75,85,25,25,15,False,17,13,Mantle Pokémon,247,289,202,5,10,12,False,False,False
Boldore,525,390,70,105,105,50,40,20,False,17,13,Ore Pokémon,247,289,202,5,10,12,False,False,False
Gigalith,526,515,85,135,130,60,80,25,False,17,13,Compressed Pokémon,247,205,202,5,10,12,False,False,False
Woobat,527,323,65,45,43,55,43,72,False,16,8,Bat Pokémon,276,118,221,5,6,7,False,False,False
Swoobat,528,425,67,57,55,77,55,114,False,16,8,Courting Pokémon,276,118,221,5,6,7,False,False,False
Drilbur,529,328,60,85,40,30,45,68,False,11,13,Mole Pokémon,203,202,141,5,6,12,False,False,False
Excadrill,530,508,110,135,60,50,65,88,False,11,18,Subterrene Pokémon,203,202,141,5,6,12,False,False,False
Audino,531,445,103,60,86,60,86,50,False,14,13,Hearing Pokémon,92,195,118,5,5,12,False,False,False
Audino(Mega Audino),531,545,103,60,126,80,126,50,True,14,5,Hearing Pokémon,92,153,153,6,5,12,False,False,False
Timburr,532,305,75,80,55,25,35,35,False,6,13,Muscular Pokémon,89,217,115,5,9,12,False,False,False
Gurdurr,533,405,85,105,85,40,50,40,False,6,13,Muscular Pokémon,89,217,115,5,9,12,False,False,False
Conkeldurr,534,505,105,140,95,55,65,45,False,6,13,Muscular Pokémon,89,217,115,5,9,12,False,False,False
Tympole,535,294,50,50,40,50,40,64,False,19,13,Tadpole Pokémon,254,99,285,5,14,12,False,False,False
Palpitoad,536,384,75,65,55,65,55,69,False,19,11,Vibration Pokémon,254,99,285,5,14,12,False,False,False
Seismitoad,537,509,105,95,75,85,75,74,False,19,11,Vibration Pokémon,254,170,285,5,14,12,False,False,False
Throh,538,465,120,100,85,30,85,45,False,6,13,Judo Pokémon,89,110,141,5,9,12,False,False,False
Sawk,539,465,75,125,75,30,75,85,False,6,13,Karate Pokémon,247,110,141,5,9,12,False,False,False
Sewaddle,540,310,45,53,70,40,60,42,False,1,10,Sewing Pokémon,252,27,158,5,2,12,False,False,False
Swadloon,541,380,55,63,90,50,80,42,False,1,10,Leaf-Wrapped Pokémon,119,27,158,5,2,12,False,False,False
Leavanny,542,500,75,103,80,70,80,92,False,1,10,Nurturing Pokémon,252,27,158,5,2,12,False,False,False
Venipede,543,260,30,45,59,30,39,57,False,1,15,Centipede Pokémon,169,252,232,5,2,12,False,False,False
Whirlipede,544,360,40,55,99,40,79,47,False,1,15,Curlipede Pokémon,169,252,232,5,2,12,False,False,False
Scolipede,545,485,60,100,89,55,69,112,False,1,15,Megapede Pokémon,169,252,232,5,2,12,False,False,False
Cottonee,546,280,40,27,60,37,50,66,False,10,5,Cotton Puff Pokémon,174,108,27,5,5,8,False,False,False
Whimsicott,547,480,60,67,85,77,75,116,False,10,5,Windveiled Pokémon,174,108,27,5,5,8,False,False,False
Petilil,548,280,45,35,50,70,50,30,False,10,13,Bulb Pokémon,27,160,119,5,8,12,False,False,False
Lilligant,549,480,70,60,75,110,75,90,False,10,13,Flowering Pokémon,27,160,119,5,8,12,False,False,False
Lilligant(Hisuian Lilligant),549,480,70,105,75,50,75,105,False,10,6,Flowering Pokémon,27,98,119,5,8,12,False,False,False
Basculin,550,460,70,92,65,80,55,98,False,19,13,Hostile Pokémon,193,1,141,5,15,12,False,False,False
Basculin(Blue-Striped Form),550,460,70,92,65,80,55,98,False,19,13,Hostile Pokémon,198,1,141,5,15,12,False,False,False
Basculin(White-Striped Form),550,460,70,92,65,80,55,98,False,19,13,Hostile Pokémon,191,1,141,5,15,12,False,False,False
Sandile,551,292,50,72,35,35,35,65,False,11,2,Desert Croc Pokémon,112,144,6,5,6,12,False,False,False
Krokorok,552,351,60,82,45,45,45,74,False,11,2,Desert Croc Pokémon,112,144,6,5,6,12,False,False,False
Krookodile,553,519,95,117,80,65,70,92,False,11,2,Intimidation Pokémon,112,144,6,5,6,12,False,False,False
Darumaka,554,315,70,90,45,15,45,50,False,7,13,Zen Charm Pokémon,98,153,110,5,6,12,False,False,False
Darumaka(Galarian Darumaka),554,315,70,90,45,15,45,50,False,12,13,Zen Charm Pokémon,98,153,110,8,6,12,False,False,False
Darmanitan,555,480,105,140,55,30,55,95,False,7,13,Blazing Pokémon,217,153,297,5,6,12,False,False,False
Darmanitan(Zen Mode),555,540,105,30,105,140,105,55,False,7,16,Blazing Pokémon,217,153,297,5,6,12,False,False,False
Darmanitan(Galarian Standard Mode),555,480,105,140,55,30,55,95,False,12,13,Blazing Pokémon,83,153,297,8,6,12,False,False,False
Darmanitan(Galarian Zen Mode),555,540,105,160,55,30,55,135,False,12,7,Blazing Pokémon,83,153,297,8,6,12,False,False,False
Maractus,556,461,75,86,67,106,67,60,False,10,13,Cactus Pokémon,285,27,245,5,8,12,False,False,False
Dwebble,557,325,50,65,85,35,35,55,False,1,17,Rock Inn Pokémon,247,218,289,5,2,10,False,False,False
Crustle,558,485,70,105,125,65,75,45,False,1,17,Stone Home Pokémon,247,218,289,5,2,10,False,False,False
Scraggy,559,348,50,75,70,35,70,48,False,2,6,Shedding Pokémon,216,144,112,5,4,6,False,False,False
Scrafty,560,488,65,90,115,45,115,58,False,2,6,Hoodlum Pokémon,216,144,112,5,4,6,False,False,False
Sigilyph,561,490,72,58,80,103,80,97,False,16,8,Avianoid Pokémon,296,130,266,5,7,12,False,False,False
Yamask,562,303,38,30,85,55,65,30,False,9,13,Spirit Pokémon,147,153,153,5,1,10,False,False,False
Yamask(Galarian Yamask),562,303,38,55,85,30,65,30,False,11,9,Spirit Pokémon,284,153,153,8,1,10,False,False,False
Cofagrigus,563,483,58,50,145,95,105,30,False,9,13,Coffin Pokémon,147,153,153,5,1,10,False,False,False
Tirtouga,564,355,54,78,103,53,45,22,False,19,17,Prototurtle Pokémon,229,247,254,5,14,16,False,False,False
Carracosta,565,495,74,108,133,83,65,32,False,19,17,Prototurtle Pokémon,229,247,254,5,14,16,False,False,False
Archen,566,401,55,112,45,74,45,70,False,17,8,First Bird Pokémon,48,153,153,5,7,16,False,False,False
Archeops,567,567,75,140,65,112,65,110,False,17,8,First Bird Pokémon,48,153,153,5,7,16,False,False,False
Trubbish,568,329,50,50,62,40,62,65,False,15,13,Trash Bag Pokémon,243,244,3,5,10,12,False,False,False
Garbodor,569,474,80,95,82,60,82,75,False,15,13,Trash Heap Pokémon,243,289,3,5,10,12,False,False,False
Zorua,570,330,40,65,40,80,40,65,False,2,13,Tricky Fox Pokémon,105,153,153,5,6,12,False,False,False
Zorua(Hisuian Zorua),570,330,35,60,40,85,40,70,False,14,9,Tricky Fox Pokémon,105,153,153,5,6,12,False,False,False
Zoroark,571,510,60,105,60,120,60,105,False,2,13,Illusion Fox Pokémon,105,153,153,5,6,12,False,False,False
Zoroark(Hisuian Zoroark),571,510,60,105,60,120,60,105,False,14,9,Illusion Fox Pokémon,105,153,153,5,6,12,False,False,False
Minccino,572,300,55,50,40,40,40,75,False,14,13,Chinchilla Pokémon,42,261,222,5,6,12,False,False,False
Cinccino,573,470,75,95,60,65,60,115,False,14,13,Scarf Pokémon,42,261,222,5,6,12,False,False,False
Gothita,574,290,45,30,50,55,65,45,False,16,13,Fixation Pokémon,75,33,214,5,9,12,False,False,False
Gothorita,575,390,60,45,70,75,85,55,False,16,13,Manipulate Pokémon,75,33,214,5,9,12,False,False,False
Gothitelle,576,490,70,55,95,95,110,65,False,16,13,Astral Body Pokémon,75,33,214,5,9,12,False,False,False
Solosis,577,290,45,30,40,105,50,20,False,16,13,Cell Pokémon,158,130,195,5,1,12,False,False,False
Duosion,578,370,65,40,50,125,60,30,False,16,13,Mitosis Pokémon,158,130,195,5,1,12,False,False,False
Reuniclus,579,490,110,65,75,125,85,30,False,16,13,Multiplying Pokémon,158,130,195,5,1,12,False,False,False
Ducklett,580,305,62,44,50,44,50,55,False,19,8,Water Bird Pokémon,117,22,99,5,7,14,False,False,False
Swanna,581,473,75,87,63,87,63,98,False,19,8,White Bird Pokémon,117,22,99,5,7,14,False,False,False
Vanillite,582,305,36,50,50,65,60,44,False,12,13,Fresh Snow Pokémon,101,226,289,5,10,12,False,False,False
Vanillish,583,395,51,65,65,80,75,59,False,12,13,Icy Snow Pokémon,101,226,289,5,10,12,False,False,False
Vanilluxe,584,535,71,95,85,110,95,79,False,12,13,Snowstorm Pokémon,101,227,289,5,10,12,False,False,False
Deerling,585,335,60,60,50,40,50,75,False,14,10,Season Pokémon,27,207,212,5,6,12,False,False,False
Sawsbuck,586,475,80,100,70,60,70,95,False,14,10,Season Pokémon,27,207,212,5,6,12,False,False,False
Emolga,587,428,55,75,60,75,60,103,False,4,8,Sky Squirrel Pokémon,238,153,143,5,6,12,False,False,False
Karrablast,588,315,50,75,45,40,45,60,False,1,13,Clamping Pokémon,252,216,152,5,2,12,False,False,False
Escavalier,589,495,70,135,105,60,105,20,False,1,18,Cavalry Pokémon,252,218,158,5,2,12,False,False,False
Foongus,590,294,69,55,45,55,55,15,False,10,15,Mushroom Pokémon,60,153,195,5,8,12,False,False,False
Amoonguss,591,464,114,85,70,85,80,30,False,10,15,Mushroom Pokémon,60,153,195,5,8,12,False,False,False
Frillish,592,335,55,40,50,65,85,40,False,19,9,Floating Pokémon,285,41,43,5,1,12,False,False,False
Jellicent,593,480,100,60,70,85,105,60,False,19,9,Floating Pokémon,285,41,43,5,1,12,False,False,False
